lobortis mauris.,"urna, nec luctus felis purus ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula et, rutrum eu, ultrices sit amet, risus. Donec nibh enim, gravida sit amet, dapibus",270,3,7
nonummy,"tempus, lorem fringilla ornare placerat, orci lacus vestibulum lorem, sit",170,7,5
quis diam.,mauris blandit mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna et,569,6,6
"elit fermentum risus,",Vivamus non lorem vitae odio sagittis semper. Nam tempor diam,86,9,5
lectus ante dictum,"sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus",437,10,6
quam a felis,"egestas a, scelerisque sed, sapien. Nunc pulvinar arcu et pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan",67,10,2
nibh lacinia,"et risus. Quisque libero lacus, varius et, euismod et, commodo at, libero.",390,4,3
convallis,"venenatis a, magna. Lorem ipsum dolor sit amet, consectetuer adipiscing",529,10,3
ornare. In faucibus.,"mattis velit justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras interdum. Nunc",217,5,4
convallis convallis dolor.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean",485,2,6
at risus. Nunc,Donec dignissim magna a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est.,76,7,7
sem mollis,"aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus, in molestie tortor nibh sit",165,9,5
elit. Aliquam,magna. Cras convallis convallis dolor. Quisque tincidunt pede ac,161,4,6
feugiat. Sed,"Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida. Aliquam tincidunt,",294,5,4
"augue, eu","dui lectus rutrum urna, nec luctus felis purus ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula et,",166,4,5
Fusce,"Suspendisse non leo. Vivamus nibh dolor, nonummy ac,",105,3,5
eget,"Sed molestie. Sed id risus quis diam luctus lobortis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam",541,10,2
Duis volutpat,"commodo ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy",574,7,6
"amet, dapibus id,","vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor dolor, tempus",350,1,3
Nunc mauris. Morbi,"sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur",560,10,5
urna. Vivamus molestie,"In ornare sagittis felis. Donec tempor, est ac mattis semper, dui lectus rutrum urna, nec luctus felis purus ac tellus. Suspendisse sed",322,5,5
eu,"pulvinar arcu et pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae, orci.",246,10,4
ornare sagittis,"Quisque purus sapien, gravida non, sollicitudin a, malesuada id, erat. Etiam vestibulum massa rutrum magna. Cras",239,9,5
elit.,nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim,155,9,2
eros. Nam,"rutrum. Fusce dolor quam, elementum at, egestas a, scelerisque",596,4,7
bibendum,"velit in aliquet lobortis, nisi nibh lacinia orci, consectetuer euismod est arcu ac orci.",182,4,1
enim,vitae diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula. Donec,13,2,3
diam. Pellentesque,"ac mattis velit justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus.",259,5,7
"quis, pede. Suspendisse",eros,489,8,5
Ut,"amet, consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus sem mollis dui, in sodales elit erat vitae risus. Duis a mi fringilla mi lacinia mattis. Integer eu lacus.",363,9,5
in lobortis,"Fusce dolor quam, elementum at, egestas a, scelerisque sed, sapien. Nunc pulvinar arcu et pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero",72,2,5
"elit, pharetra",dignissim lacus.,493,2,2
urna.,"Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi nibh lacinia orci, consectetuer euismod est arcu ac orci. Ut semper pretium neque. Morbi quis urna. Nunc",51,10,1
Aliquam,"velit dui,",262,10,6
"lacinia vitae, sodales","nisi sem semper erat, in consectetuer ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus",539,9,4
"vitae, aliquet","molestie in, tempus eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non dui nec urna suscipit nonummy. Fusce",274,1,6
in lobortis tellus,a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla eu neque pellentesque,10,6,1
"aliquet nec, imperdiet","nec, imperdiet nec, leo. Morbi neque tellus, imperdiet non, vestibulum nec, euismod in,",386,6,2
lorem,"orci, in consequat enim diam vel arcu. Curabitur ut odio vel est tempor",270,1,3
enim diam vel,a sollicitudin orci sem eget massa. Suspendisse,414,2,5
nulla,"mauris ipsum porta elit, a feugiat tellus lorem eu metus. In lorem. Donec",588,2,1
Mauris non dui,neque non quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem,22,3,6
ut,"pharetra sed, hendrerit a, arcu. Sed et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio,",281,6,2
"egestas a,",aliquet odio. Etiam,460,5,2
"est, mollis non,",Nunc pulvinar arcu et pede. Nunc sed orci lobortis,126,10,5
pede,"faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit, pellentesque a, facilisis non,",563,8,7
viverra. Donec,"urna justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit, pellentesque a,",506,4,2
Nunc mauris.,Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada,289,7,1
"consectetuer,",placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu,572,8,2
ut eros,"Integer in magna. Phasellus dolor elit, pellentesque a, facilisis non, bibendum sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed",172,1,5
ad,"felis purus ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula et, rutrum eu, ultrices sit amet, risus. Donec",461,3,2
metus facilisis,"a, facilisis non, bibendum sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus varius orci, in consequat",432,9,6
"orci, adipiscing non,",nec tempus mauris erat,303,6,5
ipsum primis,Cras vulputate velit eu sem. Pellentesque ut ipsum,152,7,3
eget,"dolor dolor, tempus non, lacinia at, iaculis",315,2,6
nisi a,lorem vitae odio sagittis semper. Nam tempor diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est,405,8,4
Suspendisse eleifend. Cras,libero. Morbi accumsan laoreet ipsum.,40,9,6
magna,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec tincidunt.,114,6,3
neque. In,"at,",459,2,4
"mollis dui,",imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra,392,7,2
mus.,"adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus",219,10,3
nec,"auctor, nunc nulla vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper",424,8,3
elit. Curabitur sed,malesuada. Integer id,108,4,6
"lacinia at, iaculis","nisi sem semper erat, in consectetuer ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor",302,6,1
nec,"blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate dui, nec tempus mauris erat eget ipsum.",53,6,5
ante.,dignissim lacus. Aliquam rutrum lorem ac risus. Morbi metus. Vivamus euismod urna. Nullam lobortis quam,486,10,6
sodales,"In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas lacinia. Sed congue,",572,10,5
lorem ac,fringilla,564,1,7
"amet, dapibus id,","lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem, auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus",214,5,2
"elit. Aliquam auctor,",Proin non massa non ante bibendum,360,9,3
orci,ac turpis egestas. Fusce aliquet magna a neque. Nullam,224,3,4
velit.,"elit, dictum eu, eleifend",251,1,3
quis arcu vel,ornare egestas ligula. Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet.,460,6,2
nunc id enim.,Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu eros.,449,5,5
Integer,"urna. Ut tincidunt vehicula risus. Nulla eget metus eu erat semper rutrum. Fusce dolor quam, elementum at, egestas a, scelerisque sed, sapien. Nunc pulvinar",282,3,3
consectetuer rhoncus.,Vestibulum,551,4,5
feugiat metus,"mi enim, condimentum eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida",175,7,6
In,adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at,107,5,4
lorem,mauris. Integer sem,127,1,6
Mauris ut,"et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum mi, ac",596,4,3
Etiam imperdiet dictum,"id ante dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada ut,",342,4,7
sapien,"Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus varius orci, in consequat enim diam vel arcu. Curabitur ut odio vel est tempor",585,3,5short_description,description,customer_user,case_employee,status
urna. Ut,"egestas a, scelerisque sed, sapien. Nunc pulvinar",278,10,5
"non, feugiat",Lorem ipsum,402,10,7
primis,"arcu. Curabitur ut odio vel est tempor bibendum. Donec felis orci, adipiscing non, luctus sit amet, faucibus ut, nulla. Cras eu tellus eu augue porttitor interdum. Sed auctor odio a",138,3,5
cursus.,Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim,182,8,1
risus.,"scelerisque sed, sapien. Nunc pulvinar arcu et pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus",177,3,5
Duis,sit,347,1,6
et,Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus,257,4,3
"varius orci, in","rutrum non, hendrerit id, ante. Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent",105,9,1
commodo hendrerit. Donec,"lacus. Nulla tincidunt, neque",98,5,5
egestas,"nisl arcu iaculis enim, sit amet ornare lectus justo eu arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat",164,5,2
"convallis, ante lectus","in, cursus et, eros. Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a",21,8,3
non lorem vitae,"consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus sem mollis dui, in sodales elit erat vitae risus. Duis a mi fringilla",97,9,1
a tortor.,"lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus varius orci, in consequat enim diam vel arcu. Curabitur ut odio vel est tempor",485,2,2
velit egestas lacinia.,"Aliquam rutrum lorem ac risus. Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem, auctor",568,1,4
"adipiscing fringilla, porttitor",vulputate,349,4,5
"pede,",Proin vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies,302,5,5
orci,"odio tristique pharetra. Quisque ac libero nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque",281,4,5
odio. Nam interdum,Morbi vehicula. Pellentesque tincidunt tempus risus. Donec,499,10,2
Phasellus nulla. Integer,"eget metus eu erat semper rutrum. Fusce dolor quam, elementum at, egestas a, scelerisque sed, sapien. Nunc pulvinar arcu et pede. Nunc sed",595,8,1
malesuada,urna. Nunc quis arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum,253,6,6
nunc,luctus et ultrices posuere cubilia Curae; Phasellus ornare.,91,10,4
Ut tincidunt orci,in lobortis tellus,369,10,2
"nec,","semper, dui lectus rutrum urna, nec",35,9,2
lobortis.,ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas lacinia. Sed,121,7,1
adipiscing. Mauris molestie,sed,101,6,6
nulla. In,"a, dui. Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu eros. Nam consequat dolor vitae dolor.",410,1,5
convallis dolor.,"dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit, pretium et, rutrum",280,7,5
Suspendisse ac,"aliquet, sem ut cursus luctus, ipsum leo elementum sem, vitae aliquam eros turpis non enim. Mauris quis turpis vitae purus",589,8,4
Phasellus,erat,528,9,5
"Duis cursus, diam",mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec metus facilisis lorem,103,5,7
"placerat, orci lacus",primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam eu,367,7,4
nibh. Donec,amet luctus,334,3,5
eu arcu.,"nibh dolor,",79,9,1
ipsum nunc,"Vivamus sit amet risus. Donec egestas. Aliquam nec enim. Nunc ut erat. Sed nunc est, mollis non, cursus non, egestas a,",204,4,6
"Etiam ligula tortor,","convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit",216,3,5
mauris id sapien.,"lobortis mauris. Suspendisse aliquet molestie tellus. Aenean egestas hendrerit neque. In ornare sagittis felis. Donec tempor, est ac mattis semper, dui lectus rutrum urna, nec luctus",522,7,2
vestibulum. Mauris,et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus.,134,2,5
dui nec,"amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi enim, condimentum",296,4,6
ut erat.,"egestas rhoncus. Proin nisl sem, consequat nec, mollis vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue.",101,9,5
ipsum nunc,"in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",373,8,6
erat,lorem ipsum,588,9,4
dictum cursus.,"purus. Duis elementum, dui quis accumsan convallis, ante lectus convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus,",190,4,5
sem egestas,"ac tellus. Suspendisse sed dolor. Fusce mi lorem, vehicula et, rutrum eu, ultrices sit amet, risus. Donec nibh",464,3,6
"id, libero.","non, egestas a, dui. Cras pellentesque. Sed dictum. Proin eget",550,7,2
blandit,"tempor bibendum. Donec felis orci, adipiscing non, luctus sit amet,",312,9,2
dui augue eu,cubilia Curae; Donec tincidunt. Donec vitae erat,284,10,4
Duis dignissim tempor,"sed, facilisis vitae, orci. Phasellus dapibus quam quis diam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac",314,5,4
"nec, euismod in,",et netus et malesuada fames ac turpis egestas. Fusce aliquet magna a neque.,513,2,3
sem,"lorem fringilla ornare placerat, orci lacus vestibulum lorem, sit amet ultricies sem magna nec quam. Curabitur vel lectus. Cum sociis natoque penatibus et magnis",435,5,4
"tellus, imperdiet","odio a purus. Duis elementum, dui quis accumsan convallis, ante lectus convallis est, vitae sodales nisi magna sed dui. Fusce aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus,",82,1,1
molestie,pede. Praesent eu dui. Cum sociis natoque penatibus et,522,3,5
"nec, imperdiet nec,","non, feugiat nec, diam. Duis mi enim, condimentum eget, volutpat ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed pede.",93,8,1
"a, aliquet vel,","vulputate dui, nec tempus mauris erat eget ipsum.",216,4,7
nec orci.,"commodo at, libero. Morbi accumsan laoreet ipsum. Curabitur consequat,",476,6,5
"diam nunc, ullamcorper",quis arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum. Donec at arcu.,495,3,1
"elementum, dui quis",libero. Donec consectetuer mauris id sapien. Cras dolor,116,6,1
ipsum ac,a neque. Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam,212,9,5
augue eu tellus.,eget odio. Aliquam vulputate,397,3,2
vel,"lacus. Etiam bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus, lorem fringilla ornare placerat, orci lacus vestibulum lorem, sit amet ultricies sem",283,5,7
arcu. Vestibulum ut,"arcu. Sed et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio, auctor vitae, aliquet nec,",483,10,7
"aliquet nec,","vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla ante, iaculis nec,",145,7,2
ac mi eleifend,"et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio, auctor vitae, aliquet",582,6,4
"iaculis, lacus pede","et, rutrum non, hendrerit id, ante. Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent interdum ligula eu",470,3,4
est,"urna convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec",586,6,3
libero. Proin mi.,erat volutpat. Nulla dignissim. Maecenas ornare egestas ligula. Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque.,62,4,1
Cum sociis,"Aliquam gravida mauris ut mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet nec, leo. Morbi neque tellus, imperdiet non, vestibulum nec, euismod in, dolor. Fusce feugiat.",220,7,7
"dolor sit amet,","elit, a feugiat tellus",191,9,6
imperdiet,"vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit, pretium et, rutrum non, hendrerit id,",190,7,1
Nunc,"et, lacinia vitae, sodales at, velit.",36,1,6
Nunc sed orci,"nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula. Donec luctus aliquet odio. Etiam ligula tortor, dictum eu,",404,2,1
"placerat eget, venenatis","ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus.",351,3,3
cursus,"ipsum. Curabitur consequat, lectus sit amet luctus vulputate, nisi sem semper erat, in consectetuer ipsum nunc id enim. Curabitur",579,2,1
"vitae, posuere","tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit, pretium",511,2,6
consectetuer adipiscing,et magnis dis,132,2,1
arcu ac orci.,augue,153,1,1
amet ornare,"eu tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien. Cras dolor dolor, tempus non, lacinia at, iaculis quis, pede. Praesent",547,4,7
"ut, pharetra sed,","adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy ac, feugiat non, lobortis quis, pede. Suspendisse dui. Fusce diam",212,7,2
consectetuer,ac turpis egestas.,363,6,2
Mauris,"dis parturient montes, nascetur ridiculus",218,8,1
velit justo,nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc commodo auctor velit. Aliquam nisl.,527,4,5
inceptos,Duis ac arcu. Nunc,192,3,5
"ornare,",eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat.,588,10,4
massa,"ligula eu enim. Etiam imperdiet dictum magna. Ut tincidunt orci quis lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus faucibus leo, in lobortis tellus justo sit amet nulla.",7,5,1
"lorem. Donec elementum,",tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas,417,2,7
sollicitudin adipiscing ligula.,"fermentum vel, mauris. Integer sem elit, pharetra",59,8,6
nec urna,"Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem, auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus",395,3,7
id sapien.,"auctor non, feugiat nec, diam. Duis mi enim,",333,5,2
Donec,"diam. Duis mi enim, condimentum eget,",121,2,1
dolor. Donec,"lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem, auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla.",439,7,2
sed leo. Cras,"eu, placerat eget, venenatis a, magna. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Etiam laoreet,",512,7,5
"vitae, erat. Vivamus",metus. In nec orci. Donec nibh. Quisque nonummy ipsum,289,7,4
pulvinar arcu et,Suspendisse,122,4,2
"tempor, est ac","mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam quis diam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac",163,6,6
Phasellus,"eleifend nec, malesuada ut, sem.",494,3,3
cursus vestibulum. Mauris,"dictum magna. Ut tincidunt orci quis lectus. Nullam suscipit, est ac facilisis facilisis,",429,5,2
id ante,mi.,109,3,4
non,"ante dictum cursus. Nunc mauris elit, dictum eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris sit amet",554,6,6
tincidunt. Donec,"lacus. Quisque purus sapien, gravida non, sollicitudin a, malesuada id, erat. Etiam vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla",161,8,4
tellus non magna.,Nunc quis arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum. Donec,335,4,1
rhoncus. Donec,"consectetuer rhoncus. Nullam velit dui, semper et,",191,10,3short_description,description,customer_user,case_employee,status
elit elit fermentum,"dictum eu, placerat eget, venenatis a, magna. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus",212,3,7
"ac, eleifend","erat vitae risus. Duis a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet,",525,5,5
sed,mus.,199,5,6
id,"metus. Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem, auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla.",434,5,7
sed pede. Cum,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque,172,10,5
"massa. Mauris vestibulum,","massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis",165,1,2
"et, lacinia vitae,",Donec dignissim magna a tortor. Nunc commodo auctor,557,6,4
non,Fusce aliquet magna a neque. Nullam ut,58,7,5
"ultricies adipiscing,","sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel arcu",249,9,4
velit.,"Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy",290,1,6
Cum,"dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc",83,9,7
lorem,elit erat vitae risus. Duis a mi fringilla mi lacinia,300,5,6
libero nec ligula,"auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus",475,4,2
amet ultricies,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem,427,10,2
"parturient montes, nascetur",eros. Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse,470,8,4
